Altium Designer Pick and Place Locations
C:\Users\Jack Herron\git\Altium\213_Final_Project\Project Outputs for 213_Final_Project\Pick Place for HMI_Board.csv

========================================================================================================================
File Design Information:

Date:       12-02-26
Time:       18:05
Revision:   b1e98e02aaf952aec77b638de0a6ef2a0bdd78fd
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"C201H","TopLayer","41.8000","57.5000","90"
"C202H","TopLayer","41.8000","55.5000","270"
"C203H","TopLayer","41.6000","43.8000","270"
"C204H","TopLayer","41.6000","47.0000","90"
"C205H","TopLayer","37.6000","71.9400","90"
"C206H","TopLayer","76.0000","59.3000","180"
"C207H","TopLayer","67.3000","34.1000","90"
"C208H","TopLayer","75.9000","45.6000","180"
"C209H","TopLayer","75.4000","44.3000","180"
"C210H","TopLayer","44.6000","51.5000","0"
"C211H","TopLayer","44.6000","41.8000","0"
"C212H","TopLayer","44.6000","40.7000","0"
"C213H","TopLayer","44.6000","39.6000","0"
"C214H","TopLayer","52.0000","34.6000","90"
"C215H","TopLayer","57.8000","34.6000","90"
"C216H","TopLayer","62.8000","34.6000","90"
"C217H","TopLayer","68.6000","34.6000","90"
"C218H","TopLayer","75.4000","42.1000","180"
"C219H","TopLayer","75.4000","43.2000","180"
"C220H","TopLayer","75.4000","53.2000","180"
"C221H","TopLayer","63.2000","64.2000","180"
"C222H","TopLayer","58.2000","64.2000","180"
"C223H","TopLayer","49.5000","64.2000","0"
"C224H","TopLayer","69.7000","64.2000","180"
"C225H","TopLayer","75.4000","60.7000","180"
"C226H","TopLayer","53.4000","34.1000","90"
"C301H","TopLayer","72.9000","77.7000","90"
"C302H","TopLayer","70.9500","79.8000","180"
"C303H","TopLayer","65.3000","65.5000","0"
"C304H","TopLayer","62.6000","65.5000","180"
"C305H","TopLayer","67.5000","79.8000","0"
"C306H","TopLayer","60.8000","79.8000","180"
"C307H","TopLayer","62.9500","79.8000","0"
"C308H","TopLayer","50.3000","79.8000","180"
"C401H","TopLayer","44.9000","78.1000","180"
"C402H","TopLayer","47.0000","72.7000","90"
"C501H","TopLayer","80.0000","46.5000","0"
"C502H","TopLayer","80.0000","48.0000","0"
"C503H","TopLayer","92.7000","29.9000","90"
"C504H","TopLayer","94.7000","29.9000","90"
"C505H","TopLayer","96.3000","30.6000","90"
"C506H","TopLayer","80.0000","45.0000","0"
"C507H","TopLayer","90.9000","34.0000","0"
"C508H","TopLayer","90.9000","35.2000","0"
"C509H","TopLayer","80.0000","64.3000","0"
"C601H","TopLayer","32.4000","67.2000","180"
"C602H","TopLayer","30.3000","67.2000","0"
"C603H","TopLayer","33.2000","58.2000","180"
"C701H","TopLayer","65.3000","29.0000","90"
"C702H","TopLayer","64.0000","29.1000","90"
"C901H","TopLayer","117.9000","29.6000","90"
"C902H","TopLayer","109.4000","27.3500","0"
"C903H","TopLayer","109.4000","30.8500","0"
"C904H","TopLayer","109.4000","34.3500","0"
"C905H","TopLayer","109.4000","37.8500","0"
"C906H","TopLayer","117.5000","22.5000","90"
"C907H","TopLayer","110.7500","22.5000","90"
"C908H","TopLayer","113.0000","22.5000","90"
"C909H","TopLayer","115.2500","22.5000","90"
"C910H","TopLayer","116.1000","29.1000","90"
"C911H","TopLayer","102.0000","27.0000","180"
"C912H","TopLayer","102.0000","21.8000","180"
"C913H","TopLayer","97.8000","25.0000","270"
"C914H","TopLayer","97.2000","21.8000","180"
"C915H","TopLayer","38.7000","53.5000","270"
"C916H","TopLayer","38.7000","46.6000","90"
"C917H","TopLayer","92.2000","25.0000","270"
"C918H","TopLayer","92.6500","21.8000","0"
"C919H","TopLayer","43.1000","37.9000","0"
"C920H","TopLayer","41.9000","35.6000","90"
"C921H","TopLayer","41.9000","33.4000","270"
"C922H","TopLayer","43.1000","31.1000","0"
"C923H","TopLayer","43.1000","28.8000","0"
"D201H","TopLayer","83.9000","76.0000","90"
"D202H","TopLayer","80.0000","76.0000","90"
"D203H","TopLayer","76.1000","76.0000","90"
"D501H","TopLayer","94.5000","37.8000","180"
"D801H","TopLayer","38.4000","62.7500","0"
"D802H","TopLayer","67.6000","24.6000","270"
"D803H","TopLayer","44.4000","24.0000","90"
"FB901H","TopLayer","99.5000","25.0000","90"
"J201H","TopLayer","30.2000","73.0000","270"
"J202H","TopLayer","111.5000","51.0000","180"
"J501H","TopLayer","83.9096","50.0000","90"
"J502H","TopLayer","83.8532","65.5000","90"
"J801H","TopLayer","33.8200","50.0000","270"
"J802H","TopLayer","80.0000","22.8532","180"
"J803H","TopLayer","34.3750","30.0000","270"
"L501H","TopLayer","101.7000","34.8000","90"
"L901H","TopLayer","122.7000","34.8000","270"
"L902H","TopLayer","122.7000","25.3000","270"
"R201H","TopLayer","51.5000","64.2000","180"
"R202H","TopLayer","53.8000","64.2000","180"
"R203H","TopLayer","44.0000","59.4000","0"
"R204H","TopLayer","44.0000","49.4000","180"
"R205H","TopLayer","44.0000","53.6000","0"
"R206H","TopLayer","37.6000","74.0400","90"
"R207H","TopLayer","38.7000","51.2000","180"
"R208H","TopLayer","38.7000","50.2000","180"
"R209H","TopLayer","51.0000","34.6000","90"
"R210H","TopLayer","49.0000","34.6000","270"
"R211H","TopLayer","50.0000","34.6000","270"
"R212H","TopLayer","75.4000","54.2000","0"
"R213H","TopLayer","75.4000","56.2000","0"
"R214H","TopLayer","75.4000","55.2000","0"
"R215H","TopLayer","83.9000","73.8000","180"
"R216H","TopLayer","80.0000","73.8000","180"
"R217H","TopLayer","76.1000","73.8000","180"
"R401H","TopLayer","39.4000","72.6000","90"
"R501H","TopLayer","80.0000","43.5000","0"
"R502H","TopLayer","80.0000","49.2500","0"
"R503H","TopLayer","75.4000","57.2000","0"
"R801H","TopLayer","30.7000","43.5000","180"
"R802H","TopLayer","30.7000","56.5000","180"
"R803H","TopLayer","34.4000","56.0000","0"
"R804H","TopLayer","34.4000","44.0000","0"
"R901H","TopLayer","114.4000","29.5000","270"
"R902H","TopLayer","113.0000","29.5000","90"
"R903H","TopLayer","104.8000","25.6000","0"
"R904H","TopLayer","104.8000","24.4000","180"
"R905H","TopLayer","47.1000","34.6000","270"
"R906H","TopLayer","48.1000","34.6000","90"
"S201H","TopLayer","35.2500","73.0000","270"
"U201H","TopLayer","60.0000","50.0000","0"
"U301H","TopLayer","60.0000","72.6000","270"
"U401H","TopLayer","43.0000","72.6000","90"
"U501H","TopLayer","94.5000","33.9000","180"
"U601H","TopLayer","32.0000","62.7500","90"
"U701H","TopLayer","67.6000","29.0000","270"
"U901H","TopLayer","115.4000","35.3000","270"
"U902H","TopLayer","102.0000","25.0000","90"
"U903H","TopLayer","44.5000","34.5000","90"
"U904H","TopLayer","95.0000","25.0000","180"
"X201H","TopLayer","44.0000","56.5000","90"
"X202H","TopLayer","44.0000","45.4000","90"
