Altium Designer Pick and Place Locations
C:\Users\jackh\git\Altium\PCB_Panel\Project Outputs for PCB_Panel\Pick Place for Panel.csv

========================================================================================================================
File Design Information:

Date:       16-02-26
Time:       02:23
Revision:   d3564f8230f549fb01248c823cb4eb53890ff1ad
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J102C","0393570006","TopLayer","0393570006","163.2500","37.0000","90","TERM BLK 6POS SIDE ENT 3.5MM PCB"
"J101C","527450897_CAN","TopLayer","527450897_FPC","157.1468","37.0000","270","FFC / FPC Board Connector, 0.5 mm, 8 Contacts, Receptacle, Easy-On 52745 Series, Surface Mount"
"C614L","100nF Cap","TopLayer","0402_Capacitor","97.0304","49.8000","270","16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C613L","22uF Cap","TopLayer","0805_Capacitor","94.0000","54.4000","180","Multilayer Ceramic Capacitor, 22 uF, 25 V, ± 20%, X5R, 0805 [2012 Metric]"
"R431L","10k Res","TopLayer","0402_Resistor","81.7000","30.5000","270","-55?~+155? 10kO 50V 62.5mW Thick Film Resistor ±1% ±100ppm/? 0402 Chip Resistor - Surface Mount ROHS"
"R312L","10k Res","TopLayer","0402_Resistor","105.1000","41.1000","180","-55?~+155? 10kO 50V 62.5mW Thick Film Resistor ±1% ±100ppm/? 0402 Chip Resistor - Surface Mount ROHS"
"L301L","33uH_Inductor","TopLayer","7443632200_Inductor","129.2000","37.0000","270","7443633300 Order from DigiKey"
"R604L","1k Res","TopLayer","0402_Resistor","94.0000","45.6000","180","-55?~+155? 1kO 50V 62.5mW Thick Film Resistor ±1% ±100ppm/? 0402 Chip Resistor - Surface Mount ROHS"
"R603L","1k Res","TopLayer","0402_Resistor","94.0000","46.6000","180","-55?~+155? 1kO 50V 62.5mW Thick Film Resistor ±1% ±100ppm/? 0402 Chip Resistor - Surface Mount ROHS"
"R442L","75k_Res","TopLayer","0603_Resistor","70.0000","57.0000","360","Resistor"
"R440L","75k_Res","TopLayer","0603_Resistor","70.0000","52.2000","360","Resistor"
"R437L","75k_Res","TopLayer","0603_Resistor","70.0000","55.4000","180","Resistor"
"R436L","75k_Res","TopLayer","0603_Resistor","70.0000","50.6000","180","Resistor"
"R433L","75k_Res","TopLayer","0603_Resistor","70.0000","53.8000","180","Resistor"
"R432L","75k_Res","TopLayer","0603_Resistor","70.0000","49.0000","180","Resistor"
"R430L","75k_Res","TopLayer","0603_Resistor","70.0000","47.4000","360","Resistor"
"R428L","75k_Res","TopLayer","0603_Resistor","70.0000","37.8000","360","Resistor"
"R426L","75k_Res","TopLayer","0603_Resistor","70.0000","28.2000","360","Resistor"
"R424L","75k_Res","TopLayer","0603_Resistor","70.0000","45.8000","180","Resistor"
"R423L","75k_Res","TopLayer","0603_Resistor","70.0000","36.2000","180","Resistor"
"R422L","75k_Res","TopLayer","0603_Resistor","70.0000","26.6000","180","Resistor"
"R418L","75k_Res","TopLayer","0603_Resistor","70.0000","44.2000","180","Resistor"
"R417L","75k_Res","TopLayer","0603_Resistor","70.0000","34.6000","180","Resistor"
"R416L","75k_Res","TopLayer","0603_Resistor","70.0000","25.0000","180","Resistor"
"R415L","75k_Res","TopLayer","0603_Resistor","70.0000","42.6000","360","Resistor"
"R413L","75k_Res","TopLayer","0603_Resistor","70.0000","33.0000","360","Resistor"
"R411L","75k_Res","TopLayer","0603_Resistor","70.0000","23.4000","360","Resistor"
"R409L","75k_Res","TopLayer","0603_Resistor","70.0000","41.0000","180","Resistor"
